name,tweets,followers_count
aimee55883991,3,2
jordankeller59,1158,1735
jamilac123,23,5
AnitraCRivera1,74,1
shoujidiaole,8,3
mpangamm,25,41
MarySalihWex,3128,215
Joe06275925,1,32
BenedictKonso,6553,544
maddiensass,112,219
Lew_Lab,2,84
CoraVulin,15,12
drexelpubhealth,4234,5798
francescofonta3,4,15
MichaelMAdamMD,5,48
EMoracci,90,27
IsmaeleCaramel1,1413,39
DonnetteLarki13,8,1
RuzzanteMatteo,248,72
mdmaddalon,0,35
adriennecgarr,5167,260
jaffe55,15,53
GWardeberg,11,34
andreharris89,28593,1666
jasonyew00,0,0
Jenjraymond,524,106
CambioCenter,1124,260
RatulRana9,0,58
TeaffNickle,131,288
grw_sr,124,21
SoSpecialDesign,28,14
TylerQuigley10,0,2
jtmoore73,3,22
kennetheversole,460,66
KalEl78181496,15,12
WCBballWolves,351,306
CSuttonCooper1,2,2
TaliaRubnitz,213,212
UBSSW,28977,6291
fahminajjar,4253,323
BestHometown,258,51
StandardsMich,8566,659
HJaconis,1,0
angelseti,132880,1907
DiaoulaHaman,1,2
TingHeC,0,5
slcs48n1,7947,4274
Abdel89680785,0,2
plusj1918,124,745
728pat,229,23
thier_jane,31,74
jason11welker,3,1
rxa159,1173,113
RyckmanCamille,7,4
ts_ericson,31,6
BasqueWater,10958,2161
ThePractice_LA,1919,2406
GarageTutor,2,11
HenryLiie,0,1
kb_nyc,0,0
jchenkelly,3,24
ChvatalMary,15,18
Rich24_777,109,77
PatrickFSulliv1,10,2
locke_marissa,0,7
epicenoepiceno4,2650,125
joeryan411,39,33
m_hill92,3426,210
NU_MedEd,120,302
DrLJD_Author,573,297
MattPrunckle,1855,427
aliyakh86391775,2875,21
EssaysNext,1,2
maddik93,14546,874
ZHIYE9,0,0
vedder1106,26,259
LuisPAPU19,4798,68
jtf__86,11,23
JaneSun21333424,0,0
kvvnland,1,72
sasevans23,0,4
migiall,0,0
allie__fitz,24,88
estebanvarelamd,1464,889
vrice_kcmo,1354,121
Tieasha14,2,30
jlchosy,0,1
