name,tweets,followers_count
yk344_kwon,4504,595
kevinlevart,356,303
INCEESWUSTL,2535,418
fullstoppberlin,860,745
mrjoefrank,1505,1162
red_zephrin,213,41
PSANational,1445,1372
generallybryn,2452,414
DdfaKdoaoer,6,12
WUSTLGephardt,1507,1230
debbiemurphy,582,625
Fourboysmama,124,42
WomensSocietyWU,32,123
picook,209,199
washu4hillary,71,1756
wuestpr,7,58
IdkImJustBored,103293,522
AmyHC,1091,432
rlcalv,58,55
justinfoxstl,0,64
HarrisWorldLaw,359,250
BrookingsRC,24,37
PeterColumCasey,766,131
WashULaw,7270,2184
PoliSciUMN,8803,1757
StLouisPILaw,5505,2411
CatholicLuisa,2740,218
hyebell94,2,78
mirandayaver,66272,12831
WUSTLAnthro,937,595
ProfJRoberts,4011,1458
mavrknetworking,16,33
CoffeeCartelSTL,2865,1455
Steph_Budrus,3263,275
politconsultant,563,230
PSA_APG,516,1133
RiaHan94,196,56
wustlisp,3185,1371
WashUsummer,769,514
WashUOUTLaw,214,204
OlinWCC,1532,1075
GayleGeren,6570,743
Scotty_Jacobs,90,102
prof_nokken,9143,626
WUSTL_CIO,794,390
the_noblest,54,75
sandersems,230,55
DaniellePaige35,15,12
ErinAAmato,347,84
blumkmasterflex,3260,256
setuhro,6,0
SarahO_333,18,6
OlinCaseComp,5,5
CtrRelPol,2467,1930
FrankMCorona,694,59
keridugan1,105,31
RelayForLifeWU,583,583
AEConnolly41,276,26
WUSTLDIFFS,17,22
stephen_huber,2465,286
JohnCluverius,8631,1756
WUFYC,1388,970
Schmiedette,269,31
ChancellorW,932,2262
washudems,66,306
cynhudson,1145,571
jeremycaddel,79,62
SamFoxSchool,9808,2351
ScholarBridge,526,242
WUSTLoiss,771,843
WUCS40,77,185
pol_economist,786,412
WUSTLlibraries,4027,1776
ma_me_ga,8420,906
binici,5,23
WUSTLEconAC,639,132
WU_DAC,39,156
SJGivensSTL,952,594
RasitYT,1058,19
avascenturians,225,157
keithschnak,5769,1262
Adrienne_WU,1729,3225
OlinBSBA,613,418
WUSTL,10365,32799
jwpatty,321,3188
ClarissaHayward,6797,885
wupad,612,546
AMCS_WU,750,467
WashUTimmy,35,75
DOTwustl,16,53
WASHUCheer,21,112
kennethsng,3,48
prof_aburibe,23,7
WashU_Habif,939,441
slso,9790,37301
WUSTLDC,198,62
deepfriar,22238,332
mjnelson7,1495,605
Jktboston,118,172
OutPerformPeers,2156,354
ajreeves,149,1384
ironflamingo1,2,3
Coolicolo,1383,176
WUSTLArtSci,7551,2472
caseycrawforddd,3003,171
BellevilleMovee,118,19961
WUSTLpubhealth,4982,2051
JonathanRapkin,61,4
ProfStevenSmith,38,2685
j_homola,62,223
emagar,5545,2250
alucardi1,14706,1126
000fukumoto,3369,1951
WUSTLSIS,1840,831
