name,tweets,followers_count
JLBergen,1991,600
elenadamian3,224,124
stefanie_reher,206,631
ford_nik,12524,1424
grow_andre,1101,790
EthanVPorter,594,1051
b_castanho,673,454
posciwty,273,309
graemedblair,1355,2409
jasperjcooper,80,598
Marina_Lindell,127,140
MarkEvansACT,1093,2327
jeremycyoung,2592,9897
volkan17658772,258,98
HC_Richardson,54368,52253
casparchris,211,173
CristianNorocel,1630,653
WeComm_VL_NL,108,372
SciencePoULB,2938,1835
Emilie_vanHaute,710,1445
EJPGjournal,814,1616
rdandoy,5622,3351
LizaMugge,804,1173
WendyConwayLamb,542,353
DimitriCourant,914,572
MamaFrej,0,111
MariLaeger,104,52
Kunkakom,15108,1281
PatrikTaufar,105,257
Dr_SBussu,3378,1133
wojciechowa,521,325
eudaimonisty,6817,2638
nikwyss,63,143
VaLescaL,13164,1704
mckayspencer,2677,336
mblukac,341,171
antoanetadl,6325,962
Filip_Kostelka,796,437
ICPSRSummer,2958,2558
DelibGovLaw,652,543
AnnKristinKolln,28,397
KristofJacobs1,5838,1537
Mohamme81482582,17,27
ProfJohnBarry,4761,2221
amandabittner,18145,4755
opensocsci,321,499
jgastil,418,1137
kesearles,14054,5774
sew_bili,11,12
DFleuss,372,214
Sharif_lbakri,747,106
SeraphineMaerz,88,320
nomadic_kris,1646,327
ESS_Survey,4663,9231
FinlandArseniy,0,20
JehanBottin,16,187
MammaPia,1145,350
MichaelNeblo,19,596
johnson77010625,19,339
hannah__werner,11,91
nnemr,8234,398
hayley_walker87,7,43
thinkingpolis,6321,1129
alfredmwu,292,676
DanyMususa,1348,156
LMorgenbesser,4222,2429
rrichard09,74304,1480
awattsup_,194,145
alixabeth,22747,9524
juhahiedanpaa,559,394
laravu05,135,102
HannahLebovits,12447,3129
GeoffGWilson,13036,1200
miriboehme,3822,396
NicoleCurato,3535,7661
ncdd,22448,5890
BreznauNate,981,712
Janealver,2250,1094
yaoyao_dai,15,222
LCJacobs89,205,412
kathaesa,475,502
Nimesh724,304,277
jaive_gmy,6,35
MaritHammond,754,444
bdmagalhaes,748,271
hedda_r,3382,872
asa_vonschoultz,796,722
timothyjshaffer,4267,1071
Riynto,235,78
ManguleIndra,1710,372
RROIJJSS,126,40
MariaBack77,276,197
andreas_riedl,120,243
CitizenDemos,268,115
ZairAzper,950,177
MaiKarjalainen,327,308
melissaleesands,1771,2550
CPGJCam,237,1473
meganehatch,7994,2095
dandekadt,10800,2190
LecocqSharon,202,220
KearnsErinM,2965,1955
DanBischof,3905,1996
NoaBalf,1589,556
DelibNet,4208,886
LittleConnors,743,707
geniia_iakhnis,213,154
martinrosema,2674,706
NathanKalmoe,16635,3578
VoterEngagement,3529,928
twytfaut,1548,872
delibpedagogy,194,269
jdbenson_,66,255
lorenantonyking,5205,1110
cmslaughter_,37438,2220
mark_s_bell,2037,2669
apr_journal,11,169
rachaelhouston_,477,555
DeliberaBrasil,604,106
DrKraybill,1581,417
erik_knudsen,686,548
SilkeGoubin,101,168
orlamuldoon,3086,1579
PabloDalby,576,606
JeanPaulRGagnon,5084,962
KaisaHerne,165,236
MatteoBonotti,1455,668
timabray,7800,755
JohnMar57907800,17,186
CDE_Leeds,297,475
demsoc,80183,14816
RebekahKTromble,3289,2367
Fulya_Apaydin,2033,481
F_Bethke,3666,2255
Gallo_Eduardo,413,1207
RMulita,114,107
GrMarkou,130,3027
_RealDemocracy,1079,1272
aecoppock,3212,3337
emrinke,1354,708
dqcomm2018,42,77
matt_motta,5140,1697
ReveluntSong,623,323
LiesMaurissen,66,103
anamariadutceac,6117,1183
ChristianeGrill,255,361
umisrcps,3877,13273
Imperial_PERC,1594,1696
EriBertsou,382,456
EricVorst,2910,674
tiffanydbarnes,1660,3430
lisanhager,595,218
ProfKarpo,1252,865
lorenc2,1841,1393
KatrineBeau,2791,957
IoanaP11,44,125
JM_Sievert,9672,2143
HeleenTouquet,21385,2712
l_ruth_,493,46
StapesPhD,19439,2442
carolinewlee,397,1256
RogertheGS,4487,1310
europeanness,4573,1627
DrBoulianne,1338,935
POCalsoknow,2221,6719
DrSarahLiu,1484,1974
SarahAllanUK,1634,1612
SPSAwomen,2924,1263
sgadarian,53444,9187
Ciennce_Int,135,2202
rtormos,2373,861
drjennings,42787,10640
Rikki_Dean,1658,655
DalithSteiger,3520,98946
jlanastas,1021,697
shirokuriwaki,211,915
JeffreyCKennedy,149,292
UCFlux,42,426
JasonReifler,2041,2618
BBSJournal,1644,6904
henschr,692,218
ingorohlfing,15150,2734
nina_beels88,0,14
SydneyDemocracy,2109,2368
PsyPost,40373,243935
dadomani,646,180
alessandro_nai,4319,1844
LindaSkitka,6558,4924
pablolopezab,522,308
rmpowers,8,463
PhDoodles,96,928
PALOresearch,747,732
ChemarenaCom,42,135
Sortition_blog_,53,110
UCIGPA,2961,3500
david_ronayne,616,242
zeitzoff,6680,3063
PhilipBrughmans,575,1952
JonathanCrock,1880,2055
BioSkyNews,204,1509
DelDemUCan,5376,1983
astanagt,25,58
Ruckstuhl_A,601,489
affectScience,1333,2908
sjifradeleeuw,86,213
bnbakker,1779,1486
ThatKerryHudson,33762,19383
rahmankhan54,2871,38
f_mols,73,43706
jf_daoust,956,1003
wouter_wolfs,2172,946
rightsviews,202,399
RECSM_UPF,733,1135
DOO_KULeuven,525,449
PhDForum,28072,73538
elpatidescobert,8216,5203
WalkOxford,1407,2361
K_Migchelbrink,22,70
dfonck,167,249
YfReykers,642,481
mark56313490,7,92
niamhwebster,1239,1341
JokeMatthieu,73,111
rachaelejack,3448,1417
bhatia_ud,220,368
girl_granite,57,132
brain_on_dance,836,2483
GilPradeau,5711,1237
ANEWQ,817,550
Edana_Beauvais,1408,571
Nun_River,9573,1648
fscolli93,458,191
SanchezEmersonM,295,254
FarizBadalzade,9,25
dieter_stiers,139,247
AnnaDumitriu,9773,4808
csinuffield,1065,897
WaldoGeuns,195,88
Woodpolitics17,3953,1599
KaelaJS,1054,497
JaneSuit,11071,7580
JonathanKuyper,852,485
